objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,pelicula,produccion,foto,arte,sonido,color,duracion,type,format,language,rights,rightsstatement
coll012,alguienpasaje.jpg,,,alguien_pasaje_hernandez,Jorge Navas,1999,"Heriberta, pequeña y hermosa niña, es hija de una madre de ortodoxa religiosidad y de un médico ya muerto, de quien heredó un libro de anatomía y un fino bisturí. Su madre cree que la niña va a ser médico como su padre, pero ella lo que quiere es ser vampiro. Heriberta le teme a crecer, a envejecer, a ser como su madre o a morir como su progenitor. Lee en un libro la historia de una princesa antigua que guardaba su juventud y belleza gracias a la sangre de sus súbditos. Entiende entonces cuál puede ser la cura para su mal. Tiene su libro de anatomía, su bisturí y su infantil placer por el sabor de las gotitas de sangre. Pero la sangre es cochina, dice su madre y Dios todo lo ve y todo lo castiga.",Centro;Candelaria,"Bogotá,Colombia",4.60066602010,-74.07582862717,Thriller;Drama,Cra 8a #12a-72,Alguien mató algo,"""Cinemateca Distrital, Laberinto Producciones, Ojo Tachado""",Juan Carlos Gil,Jaime Luna,César Salazar,Blanco/negro,27 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll013,diastolechorro.jpg,,,diastole_chorrode_quevedo,Harold Trompetero,2000,Basada en una serie de episodios encaminados¸ como lo asegura su director¸ a exorcizar las taras¸ temores y fobias que circulan sobre el universo del amor común y corriente. Son 35 historias desarrolladas en un promedio de dos minutos las que estructuran este largometraje¸ una tentativa de explicar el fracaso matrimonial a la manera de un rompecabezas que se organiza en el transcurso de la trama.,Centro;Candelaria,"Bogotá,Colombia",4.59719752170,-74.06972617560,Drama;Comedia,Cl. 12b #22 2-98,Diástole y sístole,Comunicarte Producciones,Rafael Orjuela,"""Rafael Orjuela; Jaime Correa""",César Salazar,Color,80 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll014,diastole93.jpg,,,diastole_parque_93,Harold Trompetero,2000,Basada en una serie de episodios encaminados¸ como lo asegura su director¸ a exorcizar las taras¸ temores y fobias que circulan sobre el universo del amor común y corriente. Son 35 historias desarrolladas en un promedio de dos minutos las que estructuran este largometraje¸ una tentativa de explicar el fracaso matrimonial a la manera de un rompecabezas que se organiza en el transcurso de la trama.,Centro;Candelaria,"Bogotá,Colombia",4.67626606109, -74.0476129687,Drama;Comedia,Cra. 11a #93A - 22,Diástole y sístole,Comunicarte Producciones,Rafael Orjuela,"""Rafael Orjuela; Jaime Correa""",César Salazar,Color,80 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll015,diastoleembudo.jpg,,,diastole_calle_embudo,Harold Trompetero,2000,Basada en una serie de episodios encaminados¸ como lo asegura su director¸ a exorcizar las taras¸ temores y fobias que circulan sobre el universo del amor común y corriente. Son 35 historias desarrolladas en un promedio de dos minutos las que estructuran este largometraje¸ una tentativa de explicar el fracaso matrimonial a la manera de un rompecabezas que se organiza en el transcurso de la trama.,Centro;Candelaria,"Bogotá,Colombia",4.59776532005,-74.06965254593,Drama;Comedia,Calle del embudo,Diástole y sístole,Comunicarte Producciones,Rafael Orjuela,"""Rafael Orjuela; Jaime Correa""",César Salazar,Color,80 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll016,eldramadel15deoctubre.png,,,dramadel15deoctubre_estatua,Vincenzo Di Domenico,1915,"Considerado el primer largometraje documental producido en Colombia, muestra los acontecimientos que rodearon el asesinato del general Rafael Uribe Uribe el 15 de octubre de 1914, incluida una reconstrucción del asesinato en sí.",Centro;Losmartires,"Bogotá,Colombia",4.616395698,-74.07488578,Documental,Cra 20 #3780,El drama del 15 de octubre,Hermanos Di Domenico,sin información,sin información,sin información,Blanco/negro,sin información,Image;StillImage,image/jpeg,es,Public domain,none
coll017,monserratecura.png,,,monserrate_cura,Jorge Silva y Carlos Mayolo,1971,"Visión crítica y mordaz sobre el fanatismo religioso turístico de los peregrinos al Santuario de Monserrate en la ciudad de Bogotá. Primer encuentro con un estilo de confrontación de la imagen y el sonido de una manera contradictoria, corrosiva y humorística. Siete minutos de distorsiones y una realidad vacía. ",Centro;Santafe,"Bogotá,Colombia",4.605342493,-74.05553686,Documental,Cra 2da este n° 21-48,Monserrate,Corafilm.,Victor Morales,sin información,Jorge Silva y Yezid Guerrero,Blanco/negro,8 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll018,monserrateescaleras.png,,,monserrate_escaleras,Jorge Silva y Carlos Mayolo,1971,"Visión crítica y mordaz sobre el fanatismo religioso turístico de los peregrinos al Santuario de Monserrate en la ciudad de Bogotá. Primer encuentro con un estilo de confrontación de la imagen y el sonido de una manera contradictoria, corrosiva y humorística. Siete minutos de distorsiones y una realidad vacía. ",Centro;Santafe,"Bogotá,Colombia",4.605342493,-74.05553686,Documental,Cra 2da este n° 21-48,Monserrate,Corafilm.,Victor Morales,sin información,Jorge Silva y Yezid Guerrero,Blanco/negro,8 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll019,chircales.png,,,chircales,Marta Rodriguez,1972,"Chircales es la búsqueda de una metodología adaptada a las condiciones socio-políticas de América Latina. Su filmación se inicia en el año 1966 al sur de la ciudad de Bogotá en un barrio llamado Tunjuelito, donde existían grandes haciendas cuyos dueños arrendaban sus tierras para la producción artesanal de ladrillos. En este documental aplicamos como marco metodológico la ""observación participante"", método de trabajo que supone que el cineasta se integre a la comunidad, sea aceptado por ella y se convierta en un miembro más de la familia elegida para realizar el documental. Desde este punto, los realizadores de Chircales compartieron 5 años la vida de la familia Castañeda, fabricantes de ladrillos. Durante estos 5 años de realización aportamos una metodología para el cine documental en condiciones de violencia política. En los años 60 y 70 no existían en Colombia escuelas de cine, ni casas productoras de documentales, las únicas herramientas que poseíamos eran una cámara y una grabadora con las que se logró mostrar la poesía, la violencia y la explotación de la familia Castañeda.",Sur;Tunjuelito,"Bogotá,Colombia",4.54757714,-74.13071685,Documental,sin información,Chircales,Jorge Silva,Jorge Silva,sin información,"Pierre Jacopin, Marta Rodriguez",Blanco/negro,42 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll016,eldramadel15deoctubre.png,,,dramadel15deoctubre_estatua,Vincenzo Di Domenico,1915,"Considerado el primer largometraje documental producido en Colombia, muestra los acontecimientos que rodearon el asesinato del general Rafael Uribe Uribe el 15 de octubre de 1914, incluida una reconstrucción del asesinato en sí.",Centro;Losmartires,"Bogotá,Colombia",4.616395698051,-74.07488578104,Documental,Cra 20 #3780,El drama del 15 de octubre,Hermanos Di Domenico,sin información,sin información,sin información,Blanco/negro,sin información,Image;StillImage,image/jpeg,es,Public domain,none
coll017,monserratecura.png,,,monserrate_cura,Jorge Silva y Carlos Mayolo,1971,"Visión crítica y mordaz sobre el fanatismo religioso turístico de los peregrinos al Santuario de Monserrate en la ciudad de Bogotá. Primer encuentro con un estilo de confrontación de la imagen y el sonido de una manera contradictoria, corrosiva y humorística. Siete minutos de distorsiones y una realidad vacía. ",Centro;Santafe,"Bogotá,Colombia",4.605342493416,-74.05553686364,Documental,Cra 2da este n° 21-48,Monserrate,Corafilm.,Victor Morales,sin información,Jorge Silva y Yezid Guerrero,Blanco/negro,8 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll018,monserrateescaleras.png,,,monserrate_escaleras,Jorge Silva y Carlos Mayolo,1971,"Visión crítica y mordaz sobre el fanatismo religioso turístico de los peregrinos al Santuario de Monserrate en la ciudad de Bogotá. Primer encuentro con un estilo de confrontación de la imagen y el sonido de una manera contradictoria, corrosiva y humorística. Siete minutos de distorsiones y una realidad vacía. ",Centro;Santafe,"Bogotá,Colombia",4.605342493416,-74.05553686364,Documental,Cra 2da este n° 21-48,Monserrate,Corafilm.,Victor Morales,sin información,Jorge Silva y Yezid Guerrero,Blanco/negro,8 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll019,chircales.png,,,chircales,Marta Rodriguez,1972,"Chircales es la búsqueda de una metodología adaptada a las condiciones socio-políticas de América Latina. Su filmación se inicia en el año 1966 al sur de la ciudad de Bogotá en un barrio llamado Tunjuelito, donde existían grandes haciendas cuyos dueños arrendaban sus tierras para la producción artesanal de ladrillos. En este documental aplicamos como marco metodológico la ""observación participante"", método de trabajo que supone que el cineasta se integre a la comunidad, sea aceptado por ella y se convierta en un miembro más de la familia elegida para realizar el documental. Desde este punto, los realizadores de Chircales compartieron 5 años la vida de la familia Castañeda, fabricantes de ladrillos. Durante estos 5 años de realización aportamos una metodología para el cine documental en condiciones de violencia política. En los años 60 y 70 no existían en Colombia escuelas de cine, ni casas productoras de documentales, las únicas herramientas que poseíamos eran una cámara y una grabadora con las que se logró mostrar la poesía, la violencia y la explotación de la familia Castañeda.",Sur;Tunjuelito,"Bogotá,Colombia",4.54757714933,-74.1307168518,Documental,sin información,Chircales,Jorge Silva,Jorge Silva,sin información,"Pierre Jacopin, Marta Rodriguez",Blanco/negro,42 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll020,larebeca.png,,,agarrando_pueblo,Carlos Mayolo y Luis Ospina,1977,Película de ficción que simula ser un documental sobre los cineastas que explotan la miseria con fines mercantilistas. Es una crítica mordaz a la “porno-miseria” y al oportunismo de los documentalistas deshonestos que hacen “documentales socio-políticos” en el Tercer Mundo con el objeto de venderlos en Europa y ganar premios.,Centro;Santafe,"Bogotá,Colombia",4.612212028777,-74.07146909629,Ficcion,Calle 25 entre carreras 12 y 13,Agarrando Pueblo ,"Carlos Mayolo, Luis Ospina SATUPLE","Enrique Forero, Oswaldo Lopez, Eduardo Carvajal, Jacques Marchal",sin información,Luis Ospina,Color,28 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll021,defensaajedrez.jpg,,,defensadeldragon_ajedrez,Natalia Santa,2017,"Samuel, Joaquín y Marcos son tres viejos amigos que pasan sus días en el centro de Bogotá, entre el legendario club de ajedrez Lasker, el Casino Caribe, y el tradicional café La Normanda. Samuel (53) es un ajedrecista profesional que vive de apostar en pequeñas partidas que sabe ganadas. Su mejor amigo es Joaquín (65), un consagrado relojero que está a punto de perder el taller que heredó de su padre. Y después está Marcos (72), un homeópata español que se dedica a buscar la fórmula para ganar en el póquer. Estos tres hombres se han refugiado en la seguridad de sus rutinas para no tener que asumir sus derrotas esenciales. Pero llega un momento en que la realidad los confronta y los hace tambalear. Entonces tendrán que tomar decisiones que ponen en riesgo esa seguridad, decisiones aparentemente pequeñas pero que los obligarán a replantear su lugar en el mundo. Mientras Samuel entrena a un pupilo para el campeonato local de ajedrez, Joaquín intenta mantener a flote su taller, y Marcos averigua por qué su hijo no le ha vuelto a mandar su pensión, distintos sucesos afectarán la cotidianidad de estos hombres, y entenderán que, en la vida como en el amor, nunca es tarde para arriesgarse a perder. ",Centro;Santafe,"Bogotá,Colombia",4.60798069607,-74.0706124134,Drama,"Cra. 7 #21-81, Bogotá",La defensa del dragón,Galaxia 311,Iván Herrera & Nicolás Ordóñez,Marcela Gómez,Juanma López,Color,80 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll022,cartuchoparque.jpg,,,cartucho_parque,Andrés Chaves,2017,"No tiene precedentes en la historia colombiana que un magnífico barrio colonial, formado por familias y negocios tradicionales, se convirtiera en el hogar de miles de indigentes y mafias. Sus calles y antiguas casonas se convirtieron en fumaderos de bazuco. Este es un documental que reconstruye la memoria rota del barrio El Cartucho en Bogotá. Es una historia de degradación que representa una sociedad que trata de barrer la basura debajo del tapete. Después de su violenta demolición en 2001 el gobierno construyó un parque estéril que la gente teme. Pero el legado del Cartucho se mantiene en la cercanía. Destruimos el barrio, pero la rabia se mantiene.",Centro;Santafe,"Bogotá,Colombia",4.59775799300,-74.0809229484,Drama,"Cra. 10 #9-30, Bogotá",Cartucho,Andrés Chaves,Daniel Galán,sin información,sin información,Color,55 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll023,untalalonsotransmilenio.jpg,,,untalalfonso_transmilenio,Libia Stella Gómez,2020,"Para Alonso Quijano, profesor de literatura y experto en Don Quijote de la Mancha, la delgada línea entre la cordura y la locura se rompe un día y, a partir de ese momento, su cómplice, el asistente veterinario Santos Carrasco, recorre el pasado del profesor para descubrir que su locura no es más que un escape del dolor y el refugio definitivo que se encuentra en la fantasía.",Occidente;Teusaquillo,"Bogotá,Colombia",4.63660745106,-74.0826287888,Drama,Calle 26 con Cra. 40,Un tal Alfonso Quijano,Red Collision Entertainment,Diego Gama Romero,Alirio Cruz Cabrera,Julián Camilo Sánchez,Color,102 minutos,Image;StillImage,image/jpeg,es,Public domain,none
coll024,memoriaestatua.jpg,,,memoria_estatua,Apichatpong Weerasethakul,2021,"Jessica (Tilda Swinton) no puede dormir desde que un fuerte ""bang"" interrumpió su sueño al amanecer. Mientras visita a su hermana en Bogotá, se hace amiga de Agnes (Jeanne Balibar), una arqueóloga que estudia restos humanos descubiertos dentro de un túnel en construcción. Jessica viaja para encontrarse con Agnes en el lugar de excavación y, en un pueblo cercano, conoce a un pescador llamado Hernán (Elkin Díaz). Ambos comparten recuerdos junto al río y cuando el día llega a su fin, Jessica se despierta con una sensación de claridad.",Centro;Santafe,"Bogotá,Colombia",4.6119635,-74.067760,Drama,"Cl. 24 #6a-1, Bogotá",Memoria,Burning,Sayombhu Mukdeeprom,Angélica Perea,Raúl Locatelli,Color,136 minutos,Image;StillImage,image/jpeg,es,Public domain,none
